IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ARLENA,KOBIETA,75
ALODIA,KOBIETA,75
VANESA,KOBIETA,75
MADELEINE,KOBIETA,75
BEATRICE,KOBIETA,75
JUTA,KOBIETA,75
HENRIETTA,KOBIETA,74
FORTUNATA,KOBIETA,74
ELIANA,KOBIETA,74
MARYNA,KOBIETA,74
KOLETA,KOBIETA,74
LAN,KOBIETA,74
LAYLA,KOBIETA,73
SELMA,KOBIETA,73
LEAH,KOBIETA,73
BERNARDETTA,KOBIETA,73
KAMELIA,KOBIETA,72
BEATE,KOBIETA,72
CYNTIA,KOBIETA,72
SZARLOTTA,KOBIETA,71
-,KOBIETA,71
BIBIANA,KOBIETA,71
HILARIA,KOBIETA,71
FERDYNANDA,KOBIETA,71
MARÍA,KOBIETA,71
ALEKSA,KOBIETA,71
MAGDALENE,KOBIETA,71
JADE,KOBIETA,70
META,KOBIETA,70
MARGERITA,KOBIETA,70
DIANE,KOBIETA,70
FIONA,KOBIETA,70
INGRYDA,KOBIETA,70
ROZA,KOBIETA,69
LOUISA,KOBIETA,69
ANZELMA,KOBIETA,69
FLAWIA,KOBIETA,69
NORA,KOBIETA,69
ROMINA,KOBIETA,69
ANDŻELA,KOBIETA,69
JULIETTA,KOBIETA,69
KWIRYNA,KOBIETA,68
GISELA,KOBIETA,68
CAMILLE,KOBIETA,68
KIARA,KOBIETA,68
SUSANNA,KOBIETA,67
FLORENCE,KOBIETA,67
WALTRAUT,KOBIETA,67
KESJA,KOBIETA,67
JOANNE,KOBIETA,66
DOMINIQUE,KOBIETA,66
MILADA,KOBIETA,66
ANATOLIA,KOBIETA,66
ANNAMARIA,KOBIETA,65
LIA,KOBIETA,65
OFELIA,KOBIETA,65
NAWOJKA,KOBIETA,65
RAE,KOBIETA,65
THERESIA,KOBIETA,65
LEIGH,KOBIETA,65
VIVIENNE,KOBIETA,65
NIKOLINA,KOBIETA,64
CAMILLA,KOBIETA,64
AMIRA,KOBIETA,64
DAMARIS,KOBIETA,64
MATILDA,KOBIETA,63
ISABELL,KOBIETA,63
XYMENA,KOBIETA,63
FABIANA,KOBIETA,63
BRUNHILDA,KOBIETA,63
ROZANNA,KOBIETA,63
SABA,KOBIETA,63
MONIQUE,KOBIETA,63
ARIANNA,KOBIETA,63
LILLI,KOBIETA,63
KAYA,KOBIETA,63
JADWIGA KAZIMIERA,KOBIETA,63
MAIA,KOBIETA,62
JOAN,KOBIETA,62
HANNELORE,KOBIETA,62
JAGIENKA,KOBIETA,62
AISHA,KOBIETA,62
ELSA,KOBIETA,62
SOLEDAD,KOBIETA,62
FREDA,KOBIETA,61
KORA,KOBIETA,61
GIULIA,KOBIETA,61
ALWINA,KOBIETA,61
